"Year","Intercept.yr","logarea.yr","Intercept","logarea","crowd1","crowd2","crowd3","crowd4","alpha"
"26",-0.331893193605959,-0.144591278846355,-0.302995642310108,0.726187496882123,-0.0235738719460792,-0.0200604196886735,0.0313866533037414,0.0158122815573821,0.004
"29",0.060074961492598,0.139584666325709,NA,NA,NA,NA,NA,NA,0.048
"30",0.50009680169151,0.178639235852019,NA,NA,NA,NA,NA,NA,0.04
"31",0.0664073656665066,0.0588315365316386,NA,NA,NA,NA,NA,NA,0.017
"32",0.460877261778152,-0.178938843776001,NA,NA,NA,NA,NA,NA,NA
"33",-0.251499839251764,-0.176058158837294,NA,NA,NA,NA,NA,NA,NA
"34",-0.0285908633417289,0.152113686988688,NA,NA,NA,NA,NA,NA,NA
"35",-0.475800045096557,0.145931059069833,NA,NA,NA,NA,NA,NA,NA
"36",-0.956325053998071,0.369399222000495,NA,NA,NA,NA,NA,NA,NA
"37",0.697830808422371,0.0302030808252555,NA,NA,NA,NA,NA,NA,NA
"38",-0.83891619211293,0.219648873518131,NA,NA,NA,NA,NA,NA,NA
"39",-0.136051997853689,-0.0406853288405952,NA,NA,NA,NA,NA,NA,NA
"40",0.212354464086938,-0.107563789329813,NA,NA,NA,NA,NA,NA,NA
"41",-0.384647258295906,0.0375662963704874,NA,NA,NA,NA,NA,NA,NA
"45",0.0455733061003865,-0.377525645177083,NA,NA,NA,NA,NA,NA,NA
"46",0.0950319058328487,-0.314347725716553,NA,NA,NA,NA,NA,NA,NA
"49",0.63807578748649,-0.00936153542457876,NA,NA,NA,NA,NA,NA,NA
"50",-0.398138248908797,-0.0781613304813203,NA,NA,NA,NA,NA,NA,NA
"51",0.181454664459963,0.0649858322438718,NA,NA,NA,NA,NA,NA,NA
"54",0.828689848461161,-0.186248042726483,NA,NA,NA,NA,NA,NA,NA
"55",-0.498108559842197,0.162362435557526,NA,NA,NA,NA,NA,NA,NA
"56",0.620963783989662,-0.144749340086609,NA,NA,NA,NA,NA,NA,NA
