"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"intcpt.yr[1,1]",1.08234523,1.20711442528135,-1.503275,0.3166,1.145,1.88225,3.396475,1.00309995278349,330
"intcpt.yr[1,2]",2.906201825,1.02104973202685,0.870665,2.1715,2.974,3.644,4.627175,0.998774692560507,400
"intcpt.yr[1,3]",4.3610075,0.5973079770876,3.18334739845762,3.93749227393141,4.37349768491993,4.78349992161644,5.44127472932775,0.998529751256684,400
"intcpt.yr[1,4]",4.5499525,0.71496884994013,3.17767435014123,4.10499963447321,4.52499955801103,5.01449813166328,6.05419987127154,1.00291669839418,340
"intcpt.yr[2,1]",-0.4748294125,1.35310078140706,-3.3458,-1.31825,-0.42815,0.472075,2.016175,1.00631822186168,210
"intcpt.yr[2,2]",2.966722,0.84881041848715,1.41574913527811,2.36049984109047,2.95849961973971,3.54399957690858,4.76024974431365,0.998891763792547,400
"intcpt.yr[2,3]",4.1767725,0.546287250578036,3.10679087232361,3.80074800046012,4.19449997019907,4.57749991808948,5.22362354618612,1.00142132020496,400
"intcpt.yr[2,4]",4.2190225,0.632379594763646,2.98537243488434,3.77899364013085,4.21549997034753,4.66974981935449,5.34994672520563,1.00379439026842,280
"intcpt.yr[3,1]",0.1339818825,0.734330581301682,-1.25775,-0.323625,0.13485,0.6093,1.56615,1.03224386730174,49
"intcpt.yr[3,2]",2.969185,0.600916881541285,1.91089989781835,2.53374996299464,2.95449657302221,3.36524930388823,4.16121801989279,1.00454429661232,260
"intcpt.yr[3,3]",4.2247525,0.380935020664511,3.51794998613751,3.96074997632825,4.2079995247148,4.47149991614803,5.03744921789064,1.00694847469916,400
"intcpt.yr[3,4]",3.9227175,0.434198270423602,3.2100995210398,3.6184998963468,3.92949996818934,4.18649561577624,4.75034949807892,0.999932530437756,400
"intcpt.yr[4,1]",-0.848499355,0.935200978141748,-2.68715,-1.54,-0.7814,-0.180075,0.881249999999996,1.00524083010628,260
"intcpt.yr[4,2]",1.905802925,0.744389430391708,0.4579375,1.37775,1.9515,2.43875,3.345625,1.03450278061423,70
"intcpt.yr[4,3]",3.2332825,0.438252330806573,2.33527057609703,2.94049374112107,3.26699984695439,3.50249903695232,4.099498814492,0.999301430677488,400
"intcpt.yr[4,4]",2.480455,0.48711645844214,1.54987480300896,2.15374995646453,2.48,2.81949986702913,3.46617482792998,1.00242148560039,380
"intcpt.yr[5,1]",0.3902887125,0.788891405175817,-1.133025,-0.202225,0.40085,0.93215,1.985725,1.02639425255321,58
"intcpt.yr[5,2]",4.5273175,0.546974729838092,3.56752376256367,4.14074997735735,4.50449975024974,4.88249930903873,5.59002499782002,1.02883374613619,63
"intcpt.yr[5,3]",4.015585,0.400183514012282,3.27239784476808,3.75174937501382,4.01349996885511,4.27274980257385,4.87349900228442,0.998906961607972,400
"intcpt.yr[5,4]",4.2504075,0.445963372675571,3.40689994272062,3.93374997616576,4.30149927350918,4.56124997944793,5.03939938212077,1.01422743194708,110
"intcpt.yr[6,1]",0.656099245,0.806354723652147,-0.9763275,0.140875,0.66095,1.19525,2.259825,1.00806530548467,160
"intcpt.yr[6,2]",4.24749,0.556796430990636,3.24794998498468,3.84999648985752,4.212,4.62324949323408,5.38802499773831,1.00020808805279,400
"intcpt.yr[6,3]",3.2730225,0.445878875843607,2.44524547909566,2.96699797593523,3.27499984732824,3.58399958162883,4.11514989348012,0.999411016969424,400
"intcpt.yr[6,4]",3.41587,0.4437466516235,2.58819514001838,3.1052497281952,3.4299998542274,3.72174977335302,4.22804998847331,1.03049310370795,55
"intcpt.yr[7,1]",1.824389725,0.637283671786347,0.62671,1.379,1.819,2.285,3.075375,1.02324432928536,75
"intcpt.yr[7,2]",4.04589,0.451861655031958,3.21197499620486,3.74199959900193,4.01999950248753,4.37349991426938,4.94579748693886,1.00189172230544,400
"intcpt.yr[7,3]",4.6024225,0.339336968128432,3.92189995024706,4.37474826299492,4.59449997279356,4.83499968984767,5.25704999072897,0.999453881029347,400
"intcpt.yr[7,4]",2.720895,0.422493314120106,1.93274936734775,2.42249984515862,2.73,2.99174971806865,3.49296973023636,1.00506139723611,250
"intcpt.yr[8,1]",2.227593675,0.720561011946308,0.901507314442079,1.71499210985369,2.23349725766565,2.72849876396228,3.68064777156804,1.04489663555641,400
"intcpt.yr[8,2]",6.0003775,0.428370181647909,5.19982488505437,5.69874998354806,5.97549947703119,6.2737492680546,6.87119988656634,1.00410434384147,270
"intcpt.yr[8,3]",3.26194,0.374094289911462,2.5429499808198,3.00049987499305,3.24149996143761,3.5162499733406,3.99252365827993,1.00033900423671,400
"intcpt.yr[8,4]",6.26064,0.370292257940572,5.54331505431364,6.00949993759188,6.26699968086803,6.52574987072433,6.94369862743659,1.01392711009496,110
"intcpt.yr[9,1]",0.8294624225,0.709406946132611,-0.62198,0.36635,0.8743,1.30025,2.15595,1.01577063248772,110
"intcpt.yr[9,2]",4.5109,0.456055304872947,3.67097499667946,4.21199857459582,4.50349930609521,4.81299875406638,5.42759871022127,1.00644605966935,190
"intcpt.yr[9,3]",3.73462,0.371916334677572,3.06387490045195,3.48074997306357,3.68849969499795,3.9854991536049,4.48092129586511,0.998802633417058,400
"intcpt.yr[9,4]",3.158325,0.388074540517017,2.42439708615344,2.90199948287744,3.17049996057404,3.435,3.89124968730612,1.00714817401227,400
"intcpt.yr[10,1]",2.224391075,0.71395851640376,0.718895,1.7485,2.26,2.67975,3.5123,1.00595783255701,200
"intcpt.yr[10,2]",4.9823875,0.486891523579003,4.1099749970342,4.62049991882824,4.98749997493734,5.3042499823266,5.92732465299169,1.00191762714157,400
"intcpt.yr[10,3]",3.9654225,0.353319367474146,3.26939784278119,3.745,3.975,4.20949991092989,4.66909995825871,0.999110198784893,400
"intcpt.yr[10,4]",3.785995,0.392126654613207,3.01191744982311,3.51674783884652,3.79499881422906,4.06449990775286,4.57269791849281,1.00927087033755,160
"intcpt.yr[11,1]",1.1588557225,0.744505803961754,-0.4447625,0.6521,1.204,1.687,2.5106,1.00993131312278,140
"intcpt.yr[11,2]",3.83049,0.452956436905731,2.91576699901911,3.496,3.82049996728177,4.14899963858323,4.64787180308319,1.01607364580388,230
"intcpt.yr[11,3]",3.101955,0.385016964733805,2.34677457831837,2.8499994734378,3.10049899209788,3.35524930181457,3.88399501190784,1.00842107994125,240
"intcpt.yr[11,4]",2.5478645,0.448267003029179,1.70754767191877,2.23099932725357,2.55049955890998,2.868,3.40407496779556,1.03837165306117,53
