"Year","Intercept.yr","logarea.yr","Intercept","logarea","crowd1","crowd2","crowd3","crowd4","alpha"
"26",-1.7717448646034,-0.196680529144125,1.37704881597335,1.68274033856918,0.00087758716604281,-0.00131760835010569,0.0246796550016879,-0.154496290590904,0.004
"29",0.865675881921187,-0.184362440285902,NA,NA,NA,NA,NA,NA,0.048
"30",-1.68510542494762,0.407713798127114,NA,NA,NA,NA,NA,NA,0.04
"31",-1.21187974829004,-0.209025285836176,NA,NA,NA,NA,NA,NA,0.017
"32",-0.982204421491008,-0.0303174573731497,NA,NA,NA,NA,NA,NA,NA
"33",-1.57817086556506,0.0795276872703972,NA,NA,NA,NA,NA,NA,NA
"34",-0.485519425483511,-0.329490799091935,NA,NA,NA,NA,NA,NA,NA
"35",0.244735692595007,-0.106420390151446,NA,NA,NA,NA,NA,NA,NA
"36",0.0451680238693624,1.18496602787099,NA,NA,NA,NA,NA,NA,NA
"37",0.73714208134878,-0.0407431468536572,NA,NA,NA,NA,NA,NA,NA
"38",0.574803393838256,-0.0485544496420545,NA,NA,NA,NA,NA,NA,NA
"39",0.907314859428276,0.0663549136888762,NA,NA,NA,NA,NA,NA,NA
"40",1.20934096519458,0.286572474993408,NA,NA,NA,NA,NA,NA,NA
"41",0.69149311067131,0.399754775275193,NA,NA,NA,NA,NA,NA,NA
"45",0.243806459643731,-0.014064038403811,NA,NA,NA,NA,NA,NA,NA
"46",1.26952700531482,-0.112838525258849,NA,NA,NA,NA,NA,NA,NA
"49",1.28524759673087,0.178776231073407,NA,NA,NA,NA,NA,NA,NA
"50",0.848676886549456,-0.0658834480953914,NA,NA,NA,NA,NA,NA,NA
"51",-0.021653160472944,-0.279010860486446,NA,NA,NA,NA,NA,NA,NA
"54",0.0228066523070322,-0.0960946750295222,NA,NA,NA,NA,NA,NA,NA
"55",-0.789273548483461,-0.515905953620133,NA,NA,NA,NA,NA,NA,NA
"56",-0.686369788585663,-0.71193480616037,NA,NA,NA,NA,NA,NA,NA
