"Year","Intercept.yr","logarea.t0.yr","Group","GrpName","Intercept","logarea.t0","crowd1","crowd2","crowd3","crowd4","alpha","sigma.a","sigma.b"
82,1.71546078552892,-0.19211349773137,-0.0267266797804921,1,0.754651735862689,0.83141581196849,-0.0275055890120491,0.0127201531927832,0.0167615242970174,0.00319364541798865,0.014,1.58258551225282,-0.187544264899498
85,0.456002228682297,-0.0221105233109591,-0.00344231777707375,2,NA,NA,NA,NA,NA,NA,0.017,NA,NA
86,0.38935876434344,-0.0496832564494204,-0.0315750700621743,3,NA,NA,NA,NA,NA,NA,0.026,NA,NA
87,-3.69322650099268,0.698056729212596,0.212763483058373,4,NA,NA,NA,NA,NA,NA,0.018,NA,NA
88,1.69944337691914,-0.314559547743282,-0.203683046147591,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,-0.726849695443223,0.0531538946300292,0.0526640293683665,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,1.09729562590936,-0.172087224625727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,-0.191196077325546,0.00488938345342047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,-0.676870677926501,0.15866266613678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,0.598711250613698,-0.100811669856841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,0.172141833637492,-0.0420598055290327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,-0.0993598014622021,0.0343813982138302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,-0.234623758294635,0.0432843164697879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,-0.593069183861337,0.0680374207287737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,-0.893550365866061,0.086340504109882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,-0.764941835291017,0.0676441861406772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,0.906533671420666,-0.170378593894582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,-0.614695028345137,0.0919615076197152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0.305783596478603,0.00624429444098703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,-0.551810691734156,0.136795843756963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,0.10749414153229,-0.0599752577378805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,1.59196885301891,-0.325612664131011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
